hrr,number_of_hospitals,capacity,admissions,transfers_out,transfers_in,overflow_with_transfers,overflow_without_transfers,required_beds_with_transfers,required_beds_without_transfers
"Orlando, FL",36,421.5,1308.3683136412458,50.54664821094461,120.70902050653399,2.313,203.06399999999996,0.245,17.563000000000002
"Miami, FL",29,377.5,1284.060538702413,123.00637563378267,57.21283780737026,1.347,548.64,1.347,31.131000000000004
"Fort Lauderdale, FL",26,363.0,1134.841836734694,62.2908570140771,109.45959183037843,0.0,275.27700000000004,0.0,17.190999999999995
"Ormond Beach, FL",5,272.5,605.6326530612245,0.0,57.94401843203694,0.0,0.0,0.0,0.0
"Jacksonville, FL",14,268.0,1022.7028256316788,222.16096660232648,23.659809819706588,0.0,944.4200000000001,0.0,58.8
"Gainesville, FL",7,197.0,380.6448979591836,29.80006321960188,5.094262276111273,0.0,132.84099999999998,0.0,8.924000000000001
"Pensacola, FL",12,160.5,541.0102040816325,17.834446197888152,46.988175503959816,0.531,76.25399999999999,0.531,5.449
"Tampa, FL",14,155.0,607.109522798536,53.42366965596675,82.77731893623569,0.0,240.306,0.0,13.382
"Fort Myers, FL",12,145.0,506.6488914578757,12.684084971537823,30.098389421125002,0.0,61.368,0.0,4.134
"Dothan, AL",2,126.5,190.5479591836734,6.164285714285713,2.0013096038944935,0.0,28.783,0.0,1.074
"Hudson, FL",5,82.0,262.5612244897959,0.51630032227261,15.992785190963943,0.0,1.837,0.0,0.323
"Clearwater, FL",6,81.5,328.9204081632653,10.000597391871132,6.601627514792271,0.0,41.831,0.0,3.398
"Sarasota, FL",6,78.5,249.17760667903525,3.1800556586270865,23.477070373084068,0.0,16.747,0.0,0.95
"Tallahassee, FL",7,77.5,220.4926530612245,38.59687127708072,3.458690370173831,0.0,170.04,0.0,8.924
"St. Petersburg, FL",6,69.0,237.69795918367342,5.327809958000819,24.433615538524066,0.0,19.250999999999998,0.0,2.519
"Ocala, FL",6,67.0,265.69591836734696,0.0,34.496515163685665,0.0,0.0,0.0,0.0
"Lakeland, FL",3,57.5,277.01020408163265,2.3700626750634948,6.246098084346232,0.0,9.827,0.0,0.885
"Bradenton, FL",3,38.0,89.34489795918368,2.020330143373097,12.805598659173675,1.725,8.681,1.357,2.006
"Panama City, FL",6,29.5,102.5451664720456,30.55947545172404,7.026165066327952,0.0,139.147,0.0,6.2620000000000005
