city,number_of_hospitals,capacity,admissions,transfers_out,transfers_in,overflow_with_transfers,overflow_without_transfers,required_beds_with_transfers,required_beds_without_transfers
Baltimore,14,199.0,704.2878625134264,159.61168443770472,77.85655454470947,14.072,766.8030000000001,10.122,42.109
Chestertown,1,102.5,46.9530612244898,0.0,111.63243464045294,0.0,0.0,0.0,0.0
Silver Spring,2,44.5,174.79591836734693,8.33241671882972,20.514227952940345,9.253,37.325,7.867,11.559
Salisbury,1,42.5,99.01224489795919,0.0,18.01146539200306,0.0,0.0,0.0,0.0
La Plata,1,19.5,115.91632653061222,22.856860042629563,0.0,0.949,104.889,0.949,4.448
Lanham,1,18.0,38.442857142857136,0.0,33.72886681178896,0.0,0.0,0.0,0.0
Bethesda,1,17.5,37.82448979591837,0.0,15.87433044778405,0.0,0.0,0.0,0.0
Annapolis,1,15.5,138.37346938775508,49.87236440315051,0.0,0.0,222.49,0.0,10.782
Columbia,1,15.0,52.46326530612244,0.0,5.001623728786184,0.0,0.0,0.0,0.0
Leonardtown,1,15.0,45.508163265306116,0.0,8.858947141817271,0.0,0.0,0.0,0.0
Elkton,1,14.5,61.15714285714285,10.211757654556807,1.9877882406035892,20.088,61.95,10.337,11.88
Cumberland,1,14.0,42.86326530612244,2.7638393744444283,13.578958593282897,1.98,7.905,1.98,3.761
Rockville,1,13.0,48.122448979591866,0.0,14.826701222439063,0.0,0.0,0.0,0.0
Randallstown,1,12.0,99.71020408163261,23.199143463707337,0.0,0.0,99.92,0.0,6.112
Olney,1,10.5,36.97959183673469,0.0,8.43445339586807,0.0,0.0,0.0,0.0
Frederick,1,9.0,98.11836734693875,53.15434699969943,0.0,0.0,242.217,0.0,10.255
Fort Washington,1,8.0,13.291836734693874,0.0,28.154476233770875,0.0,0.0,0.0,0.0
Bel Air,1,8.0,38.38775510204083,0.7637296964724034,0.8590411427606279,0.0,2.633,0.0,0.462
Germantown,1,7.5,39.22040816326532,1.2453177514207987,0.0,0.0,2.975,0.0,0.805
Hagerstown,1,7.5,25.102040816326525,0.0,9.097352990929695,0.0,0.0,0.0,0.0
Towson,1,7.5,9.330612244897958,0.0,19.546363099975917,0.0,0.0,0.0,0.0
Clinton,1,6.0,30.489795918367335,1.2343531504372147,0.21284107624190368,0.0,5.265,0.0,0.613
Westminster,1,5.5,49.35306122448981,23.118612627120022,0.0,0.276,109.392,0.276,5.233
Cheverly,1,4.5,23.865306122448978,3.7051871591455523,0.0,0.255,16.87,0.255,1.302
Berlin,1,4.0,22.34081632653061,3.212690228627114,0.0,0.0,13.661,0.0,0.854
Glen Burnie,1,3.5,22.071428571428577,3.3749667647832196,0.0,0.0,13.972,0.0,1.007
Prince Frederick,1,3.0,27.98571428571429,12.939546908287472,0.0,0.0,57.577,0.0,3.491
Havre De Grace,1,3.0,20.308163265306128,3.404265634635636,0.0,0.0,11.634,0.0,1.201
Easton,1,3.0,13.345249824067556,0.4567434569735318,0.0,0.0,0.69,0.0,0.39
Oakland,1,2.0,14.085092885956296,4.7186001835294356,0.0,0.204,24.959,0.204,1.089
