system_name,number_of_hospitals,capacity,admissions,transfers_out,transfers_in,overflow_with_transfers,overflow_without_transfers,required_beds_with_transfers,required_beds_without_transfers
University of Maryland Medical System,10,164.0,348.002500092596,45.42052565490712,137.50003008929147,3.663,198.91700000000003,3.663,14.159
MedStar Health,7,137.0,425.57142857142856,50.293206933138634,30.080752934494633,1.071,255.926,1.071,12.221999999999998
Johns Hopkins Health System,4,71.5,191.28979591836733,0.0,42.66508942357522,0.0,0.0,0.0,0.0
Peninsula Regional Health System,1,42.5,99.01224489795919,0.0,18.01146539200306,0.0,0.0,0.0,0.0
Trinity Health,2,38.0,149.54693877551023,9.577734470250519,9.069386789530608,9.253,40.300000000000004,7.867,12.363999999999999
Unknown,4,28.0,141.48713370228282,80.38594712230496,61.88334304555984,0.204,369.788,0.204,15.886000000000001
Adventist Healthcare,2,27.0,112.5918367346939,0.0,26.2715423858488,0.0,0.0,0.0,0.0
LifeBridge Health,3,25.0,201.53877551020403,64.8263604203554,0.0,1.735,300.776,1.735,15.158
Anne Arundel Health System,1,15.5,138.37346938775508,49.87236440315051,0.0,0.0,222.49,0.0,10.782
Union Hospital,1,14.5,61.15714285714285,10.211757654556807,1.9877882406035892,20.088,61.95,10.337,11.88
Mercy,1,14.0,47.95102040816326,0.0,6.770263019468926,0.0,0.0,0.0,0.0
Western Maryland Health System,1,14.0,42.86326530612244,2.7638393744444283,13.578958593282897,1.98,7.905,1.98,3.761
Greater Baltimore Medical Center,1,12.0,24.685714285714297,0.0,26.472021943830583,0.0,0.0,0.0,0.0
Frederick Regional Health System,1,9.0,98.11836734693875,53.15434699969943,0.0,0.0,242.217,0.0,10.255
Ascension Health,1,8.5,32.087755102040816,5.518106486432539,4.788431807735585,9.083,31.62,5.133,6.541
Meritus Health,1,7.5,25.102040816326525,0.0,9.097352990929695,0.0,0.0,0.0,0.0
Atlantic General Health System,1,4.0,22.34081632653061,3.212690228627114,0.0,0.0,13.661,0.0,0.854
Calvert Health System,1,3.0,27.98571428571429,12.939546908287472,0.0,0.0,57.577,0.0,3.491
Bon Secours Health System,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
